Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Internet_Access,Tutoring_Sessions,Teacher_Quality,School_Type,Physical_Activity,Gender,Exam_Score
12,72,Low,Medium,No,6,68,Yes,0,Medium,Public,2,Female,61
18,84,Medium,High,Yes,7,74,Yes,1,High,Public,3,Male,70
22,91,High,High,Yes,8,82,Yes,2,High,Private,4,Female,79
9,65,Low,Low,No,5,58,No,0,Low,Public,1,Male,55
16,80,Medium,Medium,Yes,7,72,Yes,1,Medium,Public,3,Female,67
25,95,High,High,Yes,8,88,Yes,3,High,Private,4,Male,86
14,76,Medium,Medium,No,6,69,Yes,1,Medium,Public,2,Female,64
7,61,Low,Low,No,5,55,No,0,Low,Public,1,Male,52
20,89,High,Medium,Yes,7,80,Yes,2,High,Private,3,Female,76
17,82,Medium,High,No,6,73,Yes,1,Medium,Public,3,Male,69
28,98,High,High,Yes,8,90,Yes,4,High,Private,5,Female,91
11,70,Low,Medium,No,6,63,Yes,0,,Public,2,Male,59
19,86,Medium,Medium,Yes,7,77,Yes,2,Medium,Public,3,Female,73
24,93,High,High,Yes,7,85,Yes,3,High,Private,4,Male,83
13,74,Low,Low,No,6,66,No,1,Low,Public,2,Female,62
21,90,Medium,High,Yes,8,81,Yes,2,High,Public,4,Male,78
10,68,Low,Medium,No,5,60,Yes,0,Medium,Public,1,Female,57
26,96,High,High,Yes,8,87,Yes,3,High,Private,5,Male,88
15,79,Medium,Medium,Yes,7,71,Yes,1,,Public,3,Female,66
23,92,High,High,Yes,7,84,Yes,2,High,Private,4,Male,81
